PRODUCT ID;PRODUCT NAME;LEGAL PRODUCT GROUP;BLOOMBERG VENDOR CODE;REUTERS VENDOR CODE
ATS;OPT ON AT&S Austria Techn;SINGLE STOCK OPTIONS;ATS AV Equity;0#ATSV*.EX
ATSF;FUT ON ATS AUSTRIA;SINGLE STOCK FUTURES;ATSF=A GR Equity;0#ATSV:
AUL;OPTION ON AUTOGRILL SPA;SINGLE STOCK OPTIONS;AGL IM Equity;0#AGL*.EX
AULH;FUT ON Autogrill;SINGLE STOCK FUTURES;AULH=A GR Equity;0#AULF3:
AUR;OPT ON AURELIUS Equity;SINGLE STOCK OPTIONS;AR4 GY Equity;0#AR4G*.EX
AVF;FUT ON AVIVA PLC;SINGLE STOCK FUTURES;AVF=A GR Equity;0#AVF:
AXA;OPT ON AXA;SINGLE STOCK OPTIONS;AXA GR Equity ;0#AXAF*.EX
AXA1;1ST FRIDAY OPT ON AXA;SINGLE STOCK OPTIONS;AXA GR Equity;0#AXAF1W*.EX
AXA2;2ND FRIDAY OPT ON AXA;SINGLE STOCK OPTIONS;AXA GR Equity;0#AXAF2W*.EX
AXA4;4TH FRIDAY OPT ON AXA;SINGLE STOCK OPTIONS;AXA GR Equity;0#AXAF4W*.EX
AXA5;5TH FRIDAY OPT ON AXA;SINGLE STOCK OPTIONS;AXA GR Equity;0#AXAF5W*.EX
AXAE;OPT E ON AXA;SINGLE STOCK OPTIONS;CS FP Equity;0#AXAE*.EX
AXAG;FUT ON AXA;SINGLE STOCK FUTURES;AXAG=A GR Equity;0#AXAF2:
AXI;OPTION ON ATOS;SINGLE STOCK OPTIONS;ATO FP Equity;0#ATOS*.EX
AXIF;FUT ON ATOS;SINGLE STOCK FUTURES;AXIF=A GR Equity;0#ATOS:
AXNF;FUT ON Amplifon S.p.A.;SINGLE STOCK FUTURES;AXNF=A GR Equity;0#AMPF:
AXPF;FUT ON AMERICAN EXPRESS CO.;SINGLE STOCK FUTURES;AXPF=A GR Equity;0#AXPF:
AZA;OPTION ON ASTRAZENECA;SINGLE STOCK OPTIONS;AZN LN Equity;0#AZN*.EX
AZNF;FUT ON ASTRAZENECA PLC;SINGLE STOCK FUTURES;AZNF=A GR Equity;0#AZNF:
